latitude,longitude,urban,state,site name,biome_id,biome_name,environmental_feature_id,environmental_feature_name
41.87092,-72.96373,Urban,CT,FW08CT018,,,,
41.41548,-71.80128,Non-urban,CT,FW08CT024,,,,
41.39354,-71.8408,Urban,RI,FW08RI004,,,,
42.578359999999996,-72.56958,Urban,MA,FW08MA005,,,,
43.12146,-75.26332,Urban,NY,FW08NY049,,,,
41.623740000000005,-72.08866,Urban,CT,FW08CT017,,,,
41.7827,-71.89588,Urban,CT,FW08CT006,,,,
42.60191,-72.57133,Urban,MA,FW08MA021,,,,
41.880140000000004,-71.3813,Urban,RI,FW08RI003,,,,
41.67572,-71.9536,Urban,CT,FW08CT022,,,,
41.41502,-71.8256,Non-urban,RI,FW08RI011,,,,
41.41002,-71.84246999999999,Non-urban,RI,FW08RI007,,,,
40.93107,-80.37396,Urban,PA,FW08PA020,,,,
41.72616,-72.64876,Urban,CT,FW08CT025,,,,
41.710229999999996,-72.61803,Urban,CT,FW08CT012,,,,
41.84448,-72.632,Urban,CT,FW08CT016,,,,
42.54419,-72.56276,Non-urban,MA,FW08MA020,,,,
41.9521,-72.60858,Urban,CT,FW08CT021,,,,
