LAB SAMPLE ID,SITE_NAME,COLLECTION_DATE,Year_Month,SAMPLE TYPE,Experiment,Treatment,Treatment Class,Treatment Number,Plot,SAMPLE DEPTH LABEL,PARAMETER,VALUE,DL,UNITS,DL Flag,ANALYSIS COMMENT
PB10-9430,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,80.3561,20.92,µM,,
PB10-9444,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,88.2648,20.92,µM,,
PB10-9457,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,107.851,20.92,µM,,
PB10-9470,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Br,133.9492,20.92,µM,,
PB10-9484,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,silt cap,silt cap,8,,0-5,Br,54.7814,20.92,µM,,
PB10-9497,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,sand cap,sand cap,7,,0-5,Br,31.7035,20.92,µM,,
PB10-9510,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,control,outside control,6,,0-5,Br,122.0099,20.92,µM,,
PB10-9524,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,silt cap,silt cap,8,,0-5,Br,92.9617,20.92,µM,,
PB10-9537,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,sand cap,sand cap,7,,0-5,Br,75.2278,20.92,µM,,
PB10-9550,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,control,outside control,6,,0-5,Br,98.6021,20.92,µM,,
PB10-9566,Field Blanks,10/12/10,10.8333333333333,Field Blank,Plot Amendments,process blank,process blank,,,0-5,Br,,20.92,µM,<,
PB10-9567,Field Blanks,10/12/10,10.8333333333333,Field Blank,Plot Amendments,process blank,process blank,,,0-5,Br,,20.92,µM,<,
PB10-9568,Field Blanks,10/12/10,10.8333333333333,Field Blank,Plot Amendments,process blank,process blank,,,0-5,Br,,20.92,µM,<,
PB11-5024,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,Br,60.188,14.34,µM,,
PB11-5036,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Br,43.439,14.34,µM,,
PB11-5048,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Br,47.628,14.34,µM,,
PB11-5060,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,Br,60.24,14.34,µM,,
PB11-5072,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Br,57.798,14.34,µM,,
PB11-5084,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Br,54.227,14.34,µM,,
PB11-5084,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Br,54.026,14.34,µM,,
PB11-5096,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Br,59.246,14.34,µM,,
PB11-5108,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,Br,54.319,14.34,µM,,
PB11-5120,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Br,47.76,14.34,µM,,
PB11-5132,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,Br,39.19,14.34,µM,,
PB11-5144,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,Br,24.47,14.34,µM,,
PB11-5156,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,21.072,14.34,µM,,
PB11-5168,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,41.378,14.34,µM,,
PB11-5180,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,69.491,14.34,µM,,
PB11-5192,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Br,46.761,14.34,µM,,
PB11-5192,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Br,44.414,14.34,µM,,
PB11-5240,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,Br,45.277,14.34,µM,,
PB11-5252,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Br,39.811,14.34,µM,,
PB11-5264,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Br,28.238,14.34,µM,,
PB11-5276,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,Br,29.524,14.34,µM,,
PB11-5288,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Br,17.011,14.34,µM,,
PB11-5300,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Br,11.717,14.34,µM,<,
PB11-5312,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Br,28.969,14.34,µM,,
PB11-5324,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,Br,17.764,14.34,µM,,
PB11-5336,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Br,21.271,14.34,µM,,
PB11-5336,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Br,25.128,14.34,µM,,
PB11-5348,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,Br,23.522,14.34,µM,,
PB11-5360,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,Br,23.736,14.34,µM,,
PB11-5372,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,14.73,14.34,µM,,
PB11-5384,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,17.92,14.34,µM,,
PB11-5396,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,23.818,14.34,µM,,
PB11-5408,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Br,23.702,14.34,µM,,
PB11-5461,Field Blanks,06/07/11,11.5,Field Blank,Plot Amendments,process blank,process blank,,,,Br,,0.143,µM,<,
PB11-5462,Field Blanks,06/07/11,11.5,Field Blank,Plot Amendments,process blank,process blank,,,,Br,,0.143,µM,<,
PB11-5463,Field Blanks,06/07/11,11.5,Field Blank,Plot Amendments,process blank,process blank,,,,Br,0.021,0.143,µM,<,
PB11-5863,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,Br,60.499,8,µM,,
PB11-5874,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Br,43.869,8,µM,,
PB11-5885,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Br,91.035,8,µM,,
PB11-5896,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,Br,120.9238,8,µM,,
PB11-5907,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Br,88.5534,8,µM,,
PB11-5907,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Br,88.3019,8,µM,,
PB11-5918,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Br,92.1623,8,µM,,
PB11-5929,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Br,103.4137,8,µM,,
PB11-5940,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,Br,95.13,8,µM,,
PB11-5951,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Br,82.7442,8,µM,,
PB11-5962,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,Br,65.7278,8,µM,,
PB11-5973,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,Br,62.7619,8,µM,,
PB11-5984,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,95.514,8,µM,,
PB11-5995,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,78.5768,8,µM,,
PB11-5995,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,71.9269,8,µM,,
PB11-6006,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,139.2435,8,µM,,
PB11-6017,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Br,112.4661,8,µM,,
PB11-6031 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Br,115.7237,8,µM,,
PB11-6042 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,Br,63.6078,8,µM,,
PB11-6043,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,Br,74.6431,8,µM,,
PB11-6053 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,Br,62.4815,8,µM,,
PB11-6054,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Br,62.3097,8,µM,,
PB11-6064 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,55.9646,8,µM,,
PB11-6064 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,57.1954,8,µM,,
PB11-6065,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Br,59.6092,8,µM,,
PB11-6075 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,60.9716,8,µM,,
PB11-6076,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,Br,69.8078,8,µM,,
PB11-6086 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,76.4349,8,µM,,
PB11-6087,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Br,63.118,8,µM,,
PB11-6097 Anions,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Br,83.5868,8,µM,,
PB11-6098,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Br,74.1811,8,µM,,
PB11-6109,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Br,88.2851,8,µM,,
PB11-6120,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,Br,134.9236,8,µM,,
PB11-6120,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,Br,132.3049,8,µM,,
PB11-6126 Anions,Field Blanks,09/27/11,11.75,Field Blank,Plot Amendments,process blank,,,,,Br,0.0313,0.08,µM,<,
PB11-6127 Anions,Field Blanks,09/27/11,11.75,Field Blank,Plot Amendments,process blank,,,,,Br,0.0548,0.08,µM,<,
PB11-6128 Anions,Field Blanks,09/27/11,11.75,Field Blank,Plot Amendments,process blank,,,,,Br,0.0263,0.08,µM,<,
PB12-6206,Field Blanks,09/24/12,12.75,Field Blank,Plot Amendments,process blank,,,,,Br,0.07,0.45,µM,<,
PB12-6207,Field Blanks,09/24/12,12.75,Field Blank,Plot Amendments,process blank,,,,,Br,0.08,0.45,µM,<,
PB12-6208,Field Blanks,09/24/12,12.75,Field Blank,Plot Amendments,process blank,,,,,Br,0.1,0.45,µM,<,
PB12-6224,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Br,184.67,45.48,µM,,
PB12-6236,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Br,165.29,45.48,µM,,
PB12-6248,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Br,180.76,45.48,µM,,
PB12-6260,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Br,197.76,45.48,µM,,
PB12-6272,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Br,185.41,45.48,µM,,
PB12-6284,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Br,165.5,45.48,µM,,
PB12-6296,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,,,µM,,
PB12-6308,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,169.41,45.48,µM,,
PB12-6308,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,225.37,45.48,µM,,
PB12-6320,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,154.72,45.48,µM,,
PB12-6332,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Br,147.01,45.48,µM,,
PB12-6344,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Br,151.48,45.48,µM,,
PB12-6356,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Br,133.88,45.48,µM,,
PB12-6368,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Br,119.61,45.48,µM,,
PB12-6380,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Br,150.66,45.48,µM,,
PB12-6392,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Br,155.73,45.48,µM,,
PB12-6404,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Br,143.95,45.48,µM,,
PB12-6416,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Br,103.26,45.48,µM,,
PB12-6428,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,158.83,45.48,µM,,
PB12-6428,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Br,158.34,45.48,µM,,
PB10-8943,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Control-Initial,Control,1,,0-5,Ca,93.8,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-8955,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,Ca,101.8,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-8967,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Biochar-Initial,Biochar,4,Composite,0-5,Ca,97,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-8979,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Lime-Initial,Lime,3,Composite,0-5,Ca,97.8,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-8991,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Iron-Initial,FeCl2,2,Composite,0-5,Ca,94.6,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9003,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Control-Initial,Control,1,Composite,0-5,Ca,121.5,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9015,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,Ca,122.6,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9027,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Biochar-Initial,Biochar,4,Composite,0-5,Ca,127.4,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9039,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Lime-Initial,Lime,3,Composite,0-5,Ca,124.5,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9051,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Iron-Initial,FeCl2,2,Composite,0-5,Ca,112.6,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9085,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,Ca,115.4,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9098,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Ca,81.8,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9111,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Ca,52.3,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9125,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,Ca,52.6,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9138,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Ca,86.7,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9151,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Ca,73.2,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9165,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Ca,111.8,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9178,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,Ca,115.8,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9191,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Ca,89.6,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9205,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,Ca,55,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9218,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,Ca,49.5,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9231,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Ca,84.4,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9245,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Ca,112.7,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9258,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Ca,128.1,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9271,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Ca,145.3,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9285,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,Ca,99.1,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9298,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,Ca,72,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9311,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,Ca,55.3,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9325,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,Ca,50.6,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-9338,W21-UM-Central-B,10/19/10,10.8333333333333,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,Ca,70.4,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9351,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,Ca,71.7,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-9365,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,Ca,71.9,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9378,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,Ca,96.5,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9391,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,Ca,63.3,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9405,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,Ca,53.5,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-9418,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,Ca,42.5,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-9431,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,Ca,57.5,1.2,mg/L,,"Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9445,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,Ca,67.4,1.2,mg/L,,"Precipitate, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9458,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,Ca,74.6,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9471,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,Ca,123.9,1.2,mg/L,,"Blanks analyzed 12/8/2010 and 12/10/2010, replicates averaged"
PB10-9485,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,silt cap,silt cap,8,,0-5,Ca,53.2,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-9498,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,sand cap,sand cap,7,,0-5,Ca,47,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9511,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,control,outside control,6,,0-5,Ca,96.4,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9525,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,silt cap,silt cap,8,,0-5,Ca,74.4,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-9538,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,sand cap,sand cap,7,,0-5,Ca,76.1,1.2,mg/L,,"Color at bottom, Blanks analyzed 12/8/2010 and 12/10/2010"
PB10-9551,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,control,outside control,6,,0-5,Ca,68.3,1.2,mg/L,,Blanks analyzed 12/8/2010 and 12/10/2010
PB10-9569,Field Blanks,10/12/10,10.8333333333333,porewater,Plot Amendments,process blank,process blank,,,0-5,Ca,0.06,0.06,mg/L,<,Blanks ONLY
PB10-9570,Field Blanks,10/12/10,10.8333333333333,porewater,Plot Amendments,process blank,process blank,,,0-5,Ca,0.07,0.06,mg/L,,Blanks ONLY
