LAB SAMPLE ID,SITE_NAME,COLLECTION_DATE,Year_Month,SAMPLE TYPE,Experiment,Treatment,Treatment Class,Treatment Number,Plot,SAMPLE DEPTH LABEL,PARAMETER,VALUE,DL,UNITS,DL Flag,ANALYSIS COMMENT
PB10-9366,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,aCDOM280,154.4258,,"A, m-1",,
PB10-9379,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,aCDOM280,128.0133,,"A, m-1",,
PB10-9392,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,aCDOM280,195.6135,,"A, m-1",,
PB10-9406,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,aCDOM280,254.2976,,"A, m-1",,
PB10-9419,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,aCDOM280,333.4482,,"A, m-1",,
PB10-9432,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,aCDOM280,100.7659,,"A, m-1",,
PB10-9446,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,129.4288,,"A, m-1",,
PB10-9459,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,108.6618,,"A, m-1",,
PB10-9459,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,109.0285,,"A, m-1",,
PB10-9472,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,142.6985,,"A, m-1",,
PB10-9486,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,silt cap,silt cap,8,,0-5,aCDOM280,88.7599,,"A, m-1",,
PB10-9499,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,sand cap,sand cap,7,,0-5,aCDOM280,121.26,,"A, m-1",,
PB10-9512,W21-UM-West-A,10/19/10,10.8333333333333,porewater,Plot Amendments,control,outside control,6,,0-5,aCDOM280,127.5082,,"A, m-1",,
PB10-9526,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,silt cap,silt cap,8,,0-5,aCDOM280,113.3801,,"A, m-1",,
PB10-9539,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,sand cap,sand cap,7,,0-5,aCDOM280,111.7443,,"A, m-1",,
PB10-9552,W21-UM-Central-B,10/20/10,10.8333333333333,porewater,Plot Amendments,control,outside control,6,,0-5,aCDOM280,168.7056,,"A, m-1",,
PB10-9572,Field Blanks,10/12/10,10.8333333333333,porewater,Plot Amendments,process blank,process blank,,,0-5,aCDOM280,0.9708955,,"A, m-1",,
PB10-9573,Field Blanks,10/12/10,10.8333333333333,porewater,Plot Amendments,process blank,process blank,,,0-5,aCDOM280,0.3224468,,"A, m-1",,
PB10-9574,Field Blanks,10/12/10,10.8333333333333,porewater,Plot Amendments,process blank,process blank,,,0-5,aCDOM280,0.04080861,,"A, m-1",,
PB11-5026,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,aCDOM280,221.3054,,"A, m-1",,
PB11-5038,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,aCDOM280,288.3964,,"A, m-1",,
PB11-5050,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,aCDOM280,297.0196,,"A, m-1",,
PB11-5062,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,aCDOM280,355.3199,,"A, m-1",,
PB11-5074,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,aCDOM280,212.8922,,"A, m-1",,
PB11-5086,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,aCDOM280,327.0298,,"A, m-1",,
PB11-5098,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,aCDOM280,313.2147,,"A, m-1",,
PB11-5110,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,aCDOM280,263.0313,,"A, m-1",,
PB11-5122,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,aCDOM280,278.5401,,"A, m-1",,
PB11-5134,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,aCDOM280,282.5838,,"A, m-1",,
PB11-5134,W21-UM-West-A,06/06/11,11.5,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,aCDOM280,283.0237,,"A, m-1",,
PB11-5146,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,aCDOM280,317.8985,,"A, m-1",,
PB11-5158,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,aCDOM280,182.656,,"A, m-1",,
PB11-5170,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,257.255,,"A, m-1",,
PB11-5182,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,215.6923,,"A, m-1",,
PB11-5194,W21-UM-West-A,06/07/11,11.5,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,253.0934,,"A, m-1",,
PB11-5242,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,aCDOM280,86.4827,,"A, m-1",,
