Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Depth interval (in cm),Sample Replicate Number,Analyte,Analyte Units,199Hg-FeS,nano-200HgS,201Hg-humic,202Hg2+,Ambient Hg
#VALUE!,360,16,s,T,0-2,6,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,T,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,T,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,T,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,T,0-2,4,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,T,0-2,5,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,T,0-2,6,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,T,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,T,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,T,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,T,0-2,4,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,T,0-2,5,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,T,0-2,6,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,U,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,U,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,U,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,U,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,U,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,U,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,U,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,U,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,U,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,442,16,s,A,0-2,1,TotHg,ng/g dw,11.98,56.87,59.24,56.29,60.62
#VALUE!,442,16,s,A,0-2,2,TotHg,ng/g dw,11.91,6.28,6.43,6.45,7.11
#VALUE!,442,16,s,A,0-2,3,TotHg,ng/g dw,10.66,45.13,46.05,45.20,49.71
#VALUE!,442,16,s,A,0-2,4,TotHg,ng/g dw,12.56,5.78,5.95,5.77,7.04
#VALUE!,442,16,s,A,0-2,5,TotHg,ng/g dw,12.64,27.03,28.06,27.75,36.03
#VALUE!,442,16,s,A,0-2,6,TotHg,ng/g dw,12.54,92.47,82.66,82.90,93.36
#VALUE!,442,17,s,A,0-2,1,TotHg,ng/g dw,10.64,16.40,16.26,15.43,20.22
#VALUE!,442,17,s,A,0-2,2,TotHg,ng/g dw,12.74,72.97,69.48,65.72,75.70
#VALUE!,442,17,s,A,0-2,3,TotHg,ng/g dw,18.40,11.78,13.02,12.59,15.38
#VALUE!,442,17,s,A,0-2,4,TotHg,ng/g dw,11.13,18.44,18.52,18.04,21.55
#VALUE!,442,17,s,A,0-2,5,TotHg,ng/g dw,12.14,164.32,173.35,163.34,188.20
#VALUE!,442,17,s,A,0-2,6,TotHg,ng/g dw,10.31,18.81,20.49,20.09,24.27
#VALUE!,442,18,s,A,0-2,1,TotHg,ng/g dw,10.96,42.62,41.10,42.41,47.46
#VALUE!,442,18,s,A,0-2,2,TotHg,ng/g dw,10.17,5.66,5.28,5.34,5.06
#VALUE!,442,18,s,A,0-2,3,TotHg,ng/g dw,13.58,25.22,22.84,23.56,24.11
#VALUE!,442,18,s,A,0-2,4,TotHg,ng/g dw,12.79,72.58,71.18,67.79,81.16
#VALUE!,442,18,s,A,0-2,5,TotHg,ng/g dw,12.76,81.43,73.39,71.94,75.51
#VALUE!,442,18,s,A,0-2,6,TotHg,ng/g dw,13.89,119.41,110.50,110.34,119.52
#VALUE!,442,16,s,A,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,442,16,s,A,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,442,16,s,A,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,442,16,s,A,0-2,4,MeHg,ng/g dw,,,,,
#VALUE!,442,16,s,A,0-2,5,MeHg,ng/g dw,,,,,
#VALUE!,442,16,s,A,0-2,6,MeHg,ng/g dw,,,,,
#VALUE!,442,17,s,A,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,442,17,s,A,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,442,17,s,A,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,442,17,s,A,0-2,4,MeHg,ng/g dw,,,,,
#VALUE!,442,17,s,A,0-2,5,MeHg,ng/g dw,,,,,
#VALUE!,442,17,s,A,0-2,6,MeHg,ng/g dw,,,,,
#VALUE!,442,18,s,A,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,442,18,s,A,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,442,18,s,A,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,442,18,s,A,0-2,4,MeHg,ng/g dw,,,,,
#VALUE!,442,18,s,A,0-2,5,MeHg,ng/g dw,,,,,
#VALUE!,442,18,s,A,0-2,6,MeHg,ng/g dw,,,,,
,360,16,s,A,0-2,a,f1,ng/g dw,0.203525408421285,0.220664037691951,0.240059733806774,0.313898674260497,
,360,16,s,A,0-2,b,f1,ng/g dw,0.199726172275266,0.206702205639383,0.214213972810443,0.266081354921847,
,360,16,s,A,0-2,c,f1,ng/g dw,1.28862972647944,0.929780234759161,0.987168038679306,1.02440832918608,
,360,17,s,A,0-2,a,f1,ng/g dw,0.331468862470834,0.286047647692726,0.290179679036696,0.33660509619105,
,360,17,s,A,0-2,b,f1,ng/g dw,0.046086958988289,0.042277623041423,0.045913990553963,0.054735299758961,
,360,18,s,A,0-2,a,f1,ng/g dw,0.160618424303222,0.178008582204663,0.187968905036095,0.217147747549878,
,360,18,s,A,0-2,b,f1,ng/g dw,0.074765114534247,0.07974085780025,0.089588222843518,0.097367394330967,
,360,18,s,A,0-2,c,f1,ng/g dw,1.30634689856126,1.3259438341282,1.39137649196829,1.43594649011146,
,360,16,s,A,0-2,a,f2,ng/g dw,0.161821887992418,0.15936724709802,0.166190339999185,0.215985417287983,
,360,16,s,A,0-2,b,f2,ng/g dw,0.083128809673573,0.082409680614526,0.08899500807685,0.120026163944698,
,360,16,s,A,0-2,c,f2,ng/g dw,0.539529619426058,0.38086916699771,0.41501364547906,0.423621732839175,
,360,17,s,A,0-2,a,f2,ng/g dw,0.120334185912077,0.117586318590323,0.119069786481978,0.14278442132349,
,360,17,s,A,0-2,b,f2,ng/g dw,0.010959436879139,0.008552142005532,0.01430008049169,0.014882043973902,
,360,18,s,A,0-2,a,f2,ng/g dw,0.080049556437412,0.093599213961241,0.106346910441585,0.128080763015903,
,360,18,s,A,0-2,b,f2,ng/g dw,0.037805726620024,0.036238744360563,0.041633758948784,0.046280397226503,
,360,18,s,A,0-2,c,f2,ng/g dw,1.02677476766394,1.01513154903575,1.03750593358996,1.11644935087316,
,360,16,s,A,0-2,a,f3,ng/g dw,11.6444717465625,11.5132609452654,11.9173835207281,14.1539321454962,
,360,16,s,A,0-2,b,f3,ng/g dw,10.0199001209705,10.0363347726512,10.4595974119279,12.3695937169531,
,360,16,s,A,0-2,c,f3,ng/g dw,50.2434484545186,36.8727741259838,39.2824205664786,39.3276643668357,
,360,17,s,A,0-2,a,f3,ng/g dw,11.0271299323035,10.011029829579,10.4855330330572,11.3269700383111,
,360,17,s,A,0-2,b,f3,ng/g dw,0.930624607941368,0.426369837423137,1.18683930775878,0.516596070880144,
,360,18,s,A,0-2,a,f3,ng/g dw,12.856820900516,11.5519522360729,12.5695740944836,13.7797477935073,
,360,18,s,A,0-2,b,f3,ng/g dw,2.23752588152151,1.69515247343818,2.41252622675301,1.87883473755342,
,360,18,s,A,0-2,c,f3,ng/g dw,70.1852211235974,69.4093244073119,72.4419028583855,76.1251619839625,
,360,16,s,A,0-2,a,f4,ng/g dw,0.059898974972015,0.077158424375474,0.087935382973118,0.115882682552971,
,360,16,s,A,0-2,b,f4,ng/g dw,0.032816680756597,0.041407722549799,0.054147935069829,0.06720230183853,
,360,16,s,A,0-2,c,f4,ng/g dw,0.179297168060623,0.158369090206449,0.226060960769768,0.210952598453652,
,360,17,s,A,0-2,a,f4,ng/g dw,0.049877615140676,0.055639285764182,0.066854274439259,0.075353130129483,
,360,17,s,A,0-2,b,f4,ng/g dw,0.003588786475141,BDL,0.008724170182296,0.001641395128102,
,360,18,s,A,0-2,a,f4,ng/g dw,0.059555561091854,0.065308211874607,0.088437375818946,0.095894555127349,
,360,18,s,A,0-2,b,f4,ng/g dw,0.016874144851129,0.015358763474228,0.02625966514833,0.026052321715962,
,360,18,s,A,0-2,c,f4,ng/g dw,0.327358466437855,0.437196683866145,0.540555783493988,0.554105177055752,
,360,16,s,A,0-2,a,f5,ng/g dw,0.127486717488497,0.17448312757609,0.192241081899462,0.242827547302367,
,360,16,s,A,0-2,b,f5,ng/g dw,0.038587701903034,0.053074463704298,0.066041263466835,0.079195449900181,
,360,16,s,A,0-2,c,f5,ng/g dw,0.303540266151761,0.299395539709254,0.36534746323438,0.368541685730729,
,360,17,s,A,0-2,a,f5,ng/g dw,0.050602225248246,0.066284044702099,0.0778843279435,0.092287524198991,
,360,17,s,A,0-2,b,f5,ng/g dw,0.017137746081401,0.018700997997346,0.030889348745527,0.032490756841505,
,360,18,s,A,0-2,a,f5,ng/g dw,0.07092786106094,0.098186113348835,0.121786385515001,0.145105563434554,
,360,18,s,A,0-2,b,f5,ng/g dw,0.008548282242782,0.009930776448799,0.015213710675586,0.015312022969384,
,360,18,s,A,0-2,c,f5,ng/g dw,0.201460117441432,0.292503743639627,0.371524122869795,0.397067086718897,
,28,16,s,A,0-2,a,f1,ng/g dw,0.059293064586785,0.056586694375869,0.069298527234346,0.073763328893663,
,28,16,s,A,0-2,b,f1,ng/g dw,2.35272548714758,2.52310446577091,2.50327445042772,3.20307109421215,
,28,16,s,A,0-2,c,f1,ng/g dw,0.421674436582227,0.461110836702542,0.470331260187094,0.548571438118061,
,28,17,s,A,0-2,a,f1,ng/g dw,0.087748714873822,0.087312938666887,0.099595583149094,0.115392465193089,
,28,17,s,A,0-2,b,f1,ng/g dw,0.267918173941024,0.31078128541505,0.319957165429979,0.389757003252702,
,28,17,s,A,0-2,c,f1,ng/g dw,7.97738637550871,8.85969160416103,8.39200179080439,10.2283417668515,
,28,18,s,A,0-2,a,f1,ng/g dw,2.20814351187618,2.95713283261308,3.13034515695275,3.04982486239686,
,28,18,s,A,0-2,b,f1,ng/g dw,0.345183481265084,0.496094322672763,0.523200316333999,0.618466460451927,
,28,18,s,A,0-2,c,f1,ng/g dw,6.41044854657218,7.72706640796171,7.67723568803683,8.45316283316625,
,28,16,s,A,0-2,a,f2,ng/g dw,0.035136535556303,0.026073810325723,0.039296047197003,0.037527726162645,
,28,16,s,A,0-2,b,f2,ng/g dw,1.37738418527024,1.32729124728183,1.41665287317379,1.73720748388528,
,28,16,s,A,0-2,c,f2,ng/g dw,0.262899417629392,0.252033601519884,0.262460935036534,0.309566133398204,
,28,17,s,A,0-2,a,f2,ng/g dw,0.038359691843834,0.038783836098577,0.056389081950195,0.061791357933081,
,28,17,s,A,0-2,b,f2,ng/g dw,0.167759957919065,0.17895245598118,0.192287452294754,0.23144630214569,
,28,17,s,A,0-2,c,f2,ng/g dw,6.6374114877026,7.1840910552372,7.97576880875117,9.34860759655566,
,28,18,s,A,0-2,a,f2,ng/g dw,1.81427304751678,1.95504403735856,2.18693746006371,2.06089898368814,
,28,18,s,A,0-2,b,f2,ng/g dw,0.165328477960548,0.206954333473329,0.267602391874846,0.304762113532362,
,28,18,s,A,0-2,c,f2,ng/g dw,3.67490090035215,3.79360313147912,4.19563027951162,4.49071056237561,
,28,16,s,A,0-2,a,f3,ng/g dw,2.87894126940237,2.33797779458579,2.76213593903658,2.58482407715007,
,28,16,s,A,0-2,b,f3,ng/g dw,177.730039345857,175.546093940906,163.226479524996,197.610435049036,
,28,16,s,A,0-2,c,f3,ng/g dw,26.514470094241,25.8795655063671,23.9245045838888,26.9589889165961,
,28,17,s,A,0-2,a,f3,ng/g dw,4.46277866664876,4.28401824293087,4.4758522617016,4.77778420686275,
,28,17,s,A,0-2,b,f3,ng/g dw,15.2795904487207,15.1650437459153,14.5155105136718,16.8379814115117,
,28,17,s,A,0-2,c,f3,ng/g dw,462.284942243424,480.011226679005,437.918398421745,507.411064264213,
,28,18,s,A,0-2,a,f3,ng/g dw,247.239341019553,234.263665056522,231.058519591699,220.630058725114,
,28,18,s,A,0-2,b,f3,ng/g dw,19.8028959807253,20.0927337133132,19.8090244762663,22.5334995962024,
,28,18,s,A,0-2,c,f3,ng/g dw,437.131015861214,379.650745202145,354.417448794807,378.552172293769,
,28,16,s,A,0-2,a,f4,ng/g dw,0.014468415207927,0.010097451550029,0.018957654755319,0.019271101005448,
,28,16,s,A,0-2,b,f4,ng/g dw,0.874110416361587,0.885199360883185,1.05683582418777,1.1279855905339,
,28,17,s,A,0-2,a,f4,ng/g dw,0.021107776051206,0.012984354053089,0.031624806825998,0.027910299006831,
,28,17,s,A,0-2,b,f4,ng/g dw,0.058807245584092,0.052070764929,0.074732709417307,0.076622457270764,
,28,17,s,A,0-2,c,f4,ng/g dw,1.41138355464279,1.4126619801748,1.83158627957273,1.78303334001762,
,28,18,s,A,0-2,a,f4,ng/g dw,1.06061342227986,1.00770599097458,1.24811831094513,1.0344117318845,
,28,18,s,A,0-2,c,f4,ng/g dw,1.19494695424583,1.00969467541085,1.26315119913613,1.15974097565729,
,28,16,s,A,0-2,a,f5,ng/g dw,0.016800885587229,0.006615683831685,0.022401184971491,0.01566748725133,
,28,16,s,A,0-2,b,f5,ng/g dw,1.27435425394226,1.20861082444123,1.43219053301403,1.49460003350356,
,28,16,s,A,0-2,c,f5,ng/g dw,0.04997609840195,0.035609689026731,0.058096992267182,0.048512301968536,
,28,17,s,A,0-2,a,f5,ng/g dw,0.033047660896849,0.02354788297013,0.039513584182697,0.038968922039158,
,28,17,s,A,0-2,b,f5,ng/g dw,0.067825883218943,0.03160936437257,0.058455676826868,0.052162424869725,
,28,17,s,A,0-2,c,f5,ng/g dw,3.0148291314126,2.26577145295772,2.8468565764407,2.810646732146,
,28,18,s,A,0-2,a,f5,ng/g dw,4.66229762289772,3.87479091713017,4.18252288775332,3.75080734019501,
,28,18,s,A,0-2,b,f5,ng/g dw,0.052247687276799,0.03446436257297,0.054067466688949,0.050682497956421,
,28,18,s,A,0-2,c,f5,ng/g dw,3.92645349282404,2.75287683748259,3.11382366589628,2.92489318878581,
,7,16,s,A,0-2,a,f1,ng/g dw,0.005191275773086,0.001948332533957,0.016747775211411,0.010941525019608,
,7,16,s,A,0-2,b,f1,ng/g dw,0.04339834535205,0.044636397876448,0.060745490614424,0.059117059643966,
,7,16,s,A,0-2,c,f1,ng/g dw,0.117124722099025,0.125470141555661,0.13808556300385,0.131614264877412,
,7,16,s,A,0-2,a,f2,ng/g dw,0.015493302305328,0.006489897312492,0.021567497008171,0.015264271792839,
,7,16,s,A,0-2,b,f2,ng/g dw,0.044573736601648,0.026228826801913,0.054444297666947,0.046651203949996,
,7,16,s,A,0-2,c,f2,ng/g dw,0.081559760542863,0.045048101381547,0.065909594368171,0.060165798516056,
,7,16,s,A,0-2,a,f3,ng/g dw,0.724189325293247,0.250430929677507,0.686519099267792,0.358376029391065,
,7,16,s,A,0-2,b,f3,ng/g dw,2.56444417387675,1.58670593133522,2.24348638531884,1.7167362355474,
,7,16,s,A,0-2,c,f3,ng/g dw,2.38216351588049,1.43032690364092,2.05247338883426,1.57434681374595,
,7,16,s,A,0-2,b,f5,ng/g dw,0.019400011943739,0.009259469936537,0.020072237847901,0.015169883669948,
,7,16,s,A,0-2,c,f5,ng/g dw,0.012588208112312,0.005382891622137,0.018340139161383,0.014291640928007,
,7,17,s,A,0-2,a,f1,ng/g dw,0.025591888824294,0.028480731641699,0.040941933043743,0.039120663530323,
,7,17,s,A,0-2,b,f1,ng/g dw,0.037460158747664,0.029673809615335,0.046305877846279,0.054777045001717,
,7,17,s,A,0-2,c,f1,ng/g dw,0.009951769230923,0.011532023654189,0.024672354355133,0.04272397037974,
,7,17,s,A,0-2,a,f2,ng/g dw,0.026634423441406,0.025506336855371,0.04785011389836,0.045679463599507,
,7,17,s,A,0-2,b,f2,ng/g dw,0.037436059816095,0.034789612913477,0.073258712565841,0.088592070733831,
,7,17,s,A,0-2,c,f2,ng/g dw,0.014124665097968,0.010879478817047,0.021238269723494,0.027454629866306,
,7,17,s,A,0-2,a,f3,ng/g dw,2.02755787448737,1.52565234470496,2.27765096239024,1.80857146227241,
,7,17,s,A,0-2,b,f3,ng/g dw,1.97142219778681,1.49679239603869,1.82402224086676,2.10311641632962,
,7,17,s,A,0-2,c,f3,ng/g dw,0.520561924420008,0.490820345709841,0.937374065346832,1.86019835533178,
,7,17,s,A,0-2,a,f5,ng/g dw,0.024264247457889,0.012148141521847,0.024558881755816,0.017842984285269,
,7,17,s,A,0-2,b,f5,ng/g dw,0.00812696048937,0.001712493140454,0.010535172398426,0.010263293331605,
,7,17,s,A,0-2,c,f5,ng/g dw,0.00399702024025,0.000281569010422,0.007578525531064,0.01483158534972,
,7,18,s,A,0-2,a,f1,ng/g dw,0.028390949363469,0.027278872006866,0.048377432850238,0.03637737103835,
,7,18,s,A,0-2,b,f1,ng/g dw,1.12269818570812,1.14595691137693,1.21232507668609,1.3443114316201,
,7,18,s,A,0-2,c,f1,ng/g dw,0.049741118304797,0.033441465786613,0.060185188618947,0.05295732199366,
,7,18,s,A,0-2,a,f2,ng/g dw,0.059510749998919,0.035077337134659,0.053258588220834,0.04680781932596,
,7,18,s,A,0-2,b,f2,ng/g dw,2.81932605224066,2.55138359541156,2.80606676839813,3.04596214854848,
,7,18,s,A,0-2,c,f2,ng/g dw,0.042551336895133,0.024864790773291,0.055691170574839,0.053834219659813,
,7,18,s,A,0-2,a,f3,ng/g dw,1.38376542233011,0.664356183310763,1.32298869630244,0.837559353386898,
,7,18,s,A,0-2,b,f3,ng/g dw,200.758000726634,148.359178539959,142.060764471092,145.228685751044,
,7,18,s,A,0-2,c,f3,ng/g dw,2.85187587031868,1.65184611899995,2.38811699870456,1.85173820347302,
,7,18,s,A,0-2,a,f5,ng/g dw,0.014775071593501,0.000317726590891,0.014162686611844,0.005260285060544,
,7,18,s,A,0-2,b,f5,ng/g dw,1.9452577882788,0.752121678113386,1.16526215562923,0.850173934125925,
,7,18,s,A,0-2,c,f5,ng/g dw,0.072842352500657,0.029829418018981,0.068381406186332,0.037988401841531,
