Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Depth interval (in cm),Sample Replicate Number,Analyte,Analyte Units,199Hg-FeS,nano-200HgS,201Hg-humic,202Hg2+,Ambient Hg
#VALUE!,14,16,s,A,0-2,4A,TotHg,ng/g dw,125.23,125.96,114.06,121.12,22.17
#VALUE!,14,16,s,A,0-2,4B,TotHg,ng/g dw,28.19,27.83,25.47,28.68,15.22
#VALUE!,14,16,s,A,0-2,4C,TotHg,ng/g dw,158.26,136.68,133.64,150.02,17.91
#VALUE!,14,17,s,A,0-2,4A,TotHg,ng/g dw,12.46,11.11,10.11,11.81,13.63
#VALUE!,14,17,s,A,0-2,4B,TotHg,ng/g dw,22.20,23.14,20.61,27.34,12.96
#VALUE!,14,17,s,A,0-2,4C,TotHg,ng/g dw,9.42,10.53,9.20,11.75,13.32
#VALUE!,14,18,s,A,0-2,4A,TotHg,ng/g dw,66.31,60.78,59.69,66.26,16.12
#VALUE!,14,18,s,A,0-2,4B,TotHg,ng/g dw,180.13,160.20,152.37,158.10,13.99
#VALUE!,14,18,s,A,0-2,4C,TotHg,ng/g dw,673.79,589.09,546.02,585.86,23.69
#VALUE!,14,16,s,A,0-2,4A,MeHg,ng/g dw,0.8045,1.1926,1.5234,1.8583,1.4292
#VALUE!,14,16,s,A,0-2,4B,MeHg,ng/g dw,0.5556,0.8289,1.0696,1.3339,1.1259
#VALUE!,14,16,s,A,0-2,4C,MeHg,ng/g dw,1.0012,1.5564,2.3883,2.7741,1.0755
#VALUE!,14,17,s,A,0-2,4A,MeHg,ng/g dw,0.3431,0.4764,0.3902,0.6871,1.0498
#VALUE!,14,17,s,A,0-2,4B,MeHg,ng/g dw,0.7829,1.1989,1.3187,2.1014,1.8847
#VALUE!,14,17,s,A,0-2,4C,MeHg,ng/g dw,1.7228,3.1969,5.6944,5.9188,1.1965
#VALUE!,14,18,s,A,0-2,4A,MeHg,ng/g dw,0.6173,1.0277,1.4424,1.7260,1.1698
#VALUE!,14,18,s,A,0-2,4B,MeHg,ng/g dw,1.0533,1.8863,2.8901,3.1300,1.4035
#VALUE!,14,18,s,A,0-2,4C,MeHg,ng/g dw,0.3446,0.4868,0.3428,0.7196,1.2088
#VALUE!,42,16,s,A,0-2,1A,TotHg,ng/g dw,577.68,600.39,548.48,580.97,22.55
#VALUE!,42,16,s,A,0-2,1B,TotHg,ng/g dw,15.19,10.93,9.96,11.78,17.70
#VALUE!,42,16,s,A,0-2,1C,TotHg,ng/g dw,1190.44,994.18,982.62,982.91,11.40
#VALUE!,42,17,s,A,0-2,1A,TotHg,ng/g dw,1.02,3.13,3.02,2.99,11.78
#VALUE!,42,17,s,A,0-2,1B,TotHg,ng/g dw,7.07,8.73,8.55,8.49,8.66
#VALUE!,42,17,s,A,0-2,1C,TotHg,ng/g dw,159.66,149.79,141.20,156.18,7.88
#VALUE!,42,18,s,A,0-2,1A,TotHg,ng/g dw,127.94,121.46,120.46,121.42,14.27
#VALUE!,42,18,s,A,0-2,1B,TotHg,ng/g dw,5.14,5.30,4.41,5.59,17.78
#VALUE!,42,18,s,A,0-2,1C,TotHg,ng/g dw,152.90,134.93,131.30,123.86,17.24
#VALUE!,42,16,s,A,0-2,1A,MeHg,ng/g dw,1.6244,3.1689,5.2875,21.1716,
#VALUE!,42,16,s,A,0-2,1B,MeHg,ng/g dw,0.1501,0.2641,0.3028,1.6986,0.3725
#VALUE!,42,16,s,A,0-2,1C,MeHg,ng/g dw,0.5098,1.0844,1.8297,8.0771,
#VALUE!,42,17,s,A,0-2,1A,MeHg,ng/g dw,,0.0388,0.0694,0.2742,
#VALUE!,42,17,s,A,0-2,1B,MeHg,ng/g dw,0.0773,0.1457,0.1766,1.1197,0.2322
#VALUE!,42,17,s,A,0-2,1C,MeHg,ng/g dw,0.8924,1.6070,2.6351,14.0816,
#VALUE!,42,18,s,A,0-2,1A,MeHg,ng/g dw,0.2029,0.4727,0.7293,3.4209,0.0248
#VALUE!,42,18,s,A,0-2,1B,MeHg,ng/g dw,0.4047,0.7980,1.3322,5.5498,0.1960
#VALUE!,42,18,s,A,0-2,1C,MeHg,ng/g dw,0.0441,0.1085,0.1607,0.7401,0.1034
#VALUE!,90,16,s,A,0-2,2A,TotHg,ng/g dw,178.48,170.62,162.11,162.57,6.95
#VALUE!,90,16,s,A,0-2,2B,TotHg,ng/g dw,153.54,139.87,139.17,152.63,5.80
#VALUE!,90,16,s,A,0-2,2C,TotHg,ng/g dw,166.96,157.37,155.70,177.50,5.22
#VALUE!,90,17,s,A,0-2,2A,TotHg,ng/g dw,177.65,203.77,188.35,212.23,8.75
#VALUE!,90,17,s,A,0-2,2B,TotHg,ng/g dw,12.60,12.99,12.28,15.06,10.74
#VALUE!,90,17,s,A,0-2,2C,TotHg,ng/g dw,73.91,82.00,80.80,95.91,9.06
#VALUE!,90,18,s,A,0-2,2A,TotHg,ng/g dw,16.85,16.18,16.35,16.54,9.40
#VALUE!,90,18,s,A,0-2,2B,TotHg,ng/g dw,195.18,187.21,187.10,198.25,8.13
#VALUE!,90,18,s,A,0-2,2C,TotHg,ng/g dw,136.36,114.08,107.59,117.44,8.38
#VALUE!,90,16,s,A,0-2,2A,MeHg,ng/g dw,0.2112,0.3369,0.4353,0.4985,0.3895
#VALUE!,90,16,s,A,0-2,2B,MeHg,ng/g dw,0.2270,0.3784,0.4879,0.6019,0.3372
#VALUE!,90,16,s,A,0-2,2C,MeHg,ng/g dw,0.1829,0.3025,0.4010,0.5386,0.2763
#VALUE!,90,17,s,A,0-2,2A,MeHg,ng/g dw,1.7013,3.3094,4.6558,5.5137,0.4225
#VALUE!,90,17,s,A,0-2,2B,MeHg,ng/g dw,0.1423,0.2430,0.3243,0.4548,0.2812
#VALUE!,90,17,s,A,0-2,2C,MeHg,ng/g dw,0.2548,0.5026,0.7545,1.0205,0.3145
#VALUE!,90,18,s,A,0-2,2A,MeHg,ng/g dw,0.1646,0.3124,0.4424,0.4723,0.3325
#VALUE!,90,18,s,A,0-2,2B,MeHg,ng/g dw,0.3772,0.7948,1.1868,1.3114,0.3321
#VALUE!,90,18,s,A,0-2,2C,MeHg,ng/g dw,0.5545,1.0686,1.6643,1.8238,0.2981
#VALUE!,360,16,s,A,0.5-2,T1,TotHg,ng/g dw,10.66,7.65,7.98,7.99,10.04
#VALUE!,360,16,s,A,0.5-2,T2,TotHg,ng/g dw,7.53,54.78,53.46,53.23,61.03
#VALUE!,360,16,s,A,0.5-2,T3,TotHg,ng/g dw,10.56,49.84,39.01,39.93,41.49
#VALUE!,360,16,s,A,0.5-2,T4,TotHg,ng/g dw,7.68,4.77,4.72,4.51,5.02
#VALUE!,360,16,s,A,0.5-2,T4,TotHg,ng/g dw,8.24,2.93,2.92,3.01,3.45
#VALUE!,360,16,s,A,0.5-2,T6,TotHg,ng/g dw,9.94,18.95,16.47,16.19,16.97
#VALUE!,360,17,s,A,0.5-2,T1,TotHg,ng/g dw,10.39,21.41,19.82,19.06,21.73
#VALUE!,360,17,s,A,0.5-2,T2,TotHg,ng/g dw,13.23,6.21,6.52,6.28,6.91
#VALUE!,360,17,s,A,0.5-2,T3,TotHg,ng/g dw,7.65,0.36,0.40,0.43,0.51
#VALUE!,360,17,s,A,0.5-2,T4,TotHg,ng/g dw,8.45,0.70,0.87,0.94,1.31
#VALUE!,360,17,s,A,0.5-2,T4,TotHg,ng/g dw,10.99,13.51,13.69,13.08,15.68
#VALUE!,360,17,s,A,0.5-2,T6,TotHg,ng/g dw,11.44,14.84,16.44,16.16,19.53
#VALUE!,360,18,s,A,0.5-2,T1,TotHg,ng/g dw,9.57,31.38,30.89,31.28,35.71
#VALUE!,360,18,s,A,0.5-2,T2,TotHg,ng/g dw,9.06,13.12,11.89,11.99,12.11
#VALUE!,360,18,s,A,0.5-2,T3,TotHg,ng/g dw,11.83,107.57,107.33,109.37,117.17
#VALUE!,360,18,s,A,0.5-2,T4,TotHg,ng/g dw,8.64,6.97,6.66,6.52,7.79
#VALUE!,360,18,s,A,0.5-2,T4,TotHg,ng/g dw,10.99,17.01,15.66,15.30,16.48
#VALUE!,360,18,s,A,0.5-2,T6,TotHg,ng/g dw,9.37,11.93,11.20,11.42,12.41
#VALUE!,360,16,s,A, 2-5,D1,TotHg,ng/g dw,9.42,7.02,7.06,6.97,8.62
#VALUE!,360,16,s,A, 2-5,D2,TotHg,ng/g dw,7.04,5.30,5.52,5.49,7.04
#VALUE!,360,16,s,A, 2-5,D3,TotHg,ng/g dw,7.69,23.46,18.16,18.70,19.63
#VALUE!,360,16,s,A, 2-5,D4,TotHg,ng/g dw,10.17,3.96,4.06,3.91,4.48
#VALUE!,360,16,s,A, 2-5,D4,TotHg,ng/g dw,8.83,1.00,1.02,1.10,1.29
#VALUE!,360,16,s,A, 2-5,D6,TotHg,ng/g dw,10.76,7.97,7.20,7.23,7.65
#VALUE!,360,17,s,A, 2-5,D1,TotHg,ng/g dw,10.03,5.92,5.68,5.45,6.32
#VALUE!,360,17,s,A, 2-5,D2,TotHg,ng/g dw,7.60,1.03,1.06,1.05,1.16
#VALUE!,360,17,s,A, 2-5,D3,TotHg,ng/g dw,13.50,0.38,0.39,0.45,0.56
