Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Sample Replicate Number,Fraction,Analyte,Analyte units,199Hg-FeS,nano-200HgS,201Hg-humic ,202Hg2+
9/12/2017,28,17,sF3,A,a,f3,TotHg,ng/g,4.462779,4.2840182,4.475852262,4.777784207
9/12/2017,28,17,sF3,A,b,f3,TotHg,ng/g,15.27959,15.165044,14.51551051,16.83798141
9/12/2017,28,17,sF3,A,c,f3,TotHg,ng/g,462.2849,480.01123,437.9183984,507.4110643
9/12/2017,28,18,sF3,A,a,f3,TotHg,ng/g,247.2393,234.26367,231.0585196,220.6300587
9/12/2017,28,18,sF3,A,b,f3,TotHg,ng/g,19.8029,20.092734,19.80902448,22.5334996
9/12/2017,28,18,sF3,A,c,f3,TotHg,ng/g,437.131,379.65075,354.4174488,378.5521723
9/12/2017,28,16,sF4,A,a,f4,TotHg,ng/g,0.014468,0.0100975,0.018957655,0.019271101
9/12/2017,28,16,sF4,A,b,f4,TotHg,ng/g,0.87411,0.8851994,1.056835824,1.127985591
9/12/2017,28,17,sF4,A,a,f4,TotHg,ng/g,0.021108,0.0129844,0.031624807,0.027910299
9/12/2017,28,17,sF4,A,b,f4,TotHg,ng/g,0.058807,0.0520708,0.074732709,0.076622457
9/12/2017,28,17,sF4,A,c,f4,TotHg,ng/g,1.411384,1.412662,1.83158628,1.78303334
9/12/2017,28,18,sF4,A,a,f4,TotHg,ng/g,1.060613,1.007706,1.248118311,1.034411732
9/12/2017,28,18,sF4,A,c,f4,TotHg,ng/g,1.194947,1.0096947,1.263151199,1.159740976
9/12/2017,28,16,sF5,A,a,f5,TotHg,ng/g,0.016801,0.0066157,0.022401185,0.015667487
9/12/2017,28,16,sF5,A,b,f5,TotHg,ng/g,1.274354,1.2086108,1.432190533,1.494600034
9/12/2017,28,16,sF5,A,c,f5,TotHg,ng/g,0.049976,0.0356097,0.058096992,0.048512302
9/12/2017,28,17,sF5,A,a,f5,TotHg,ng/g,0.033048,0.0235479,0.039513584,0.038968922
9/12/2017,28,17,sF5,A,b,f5,TotHg,ng/g,0.067826,0.0316094,0.058455677,0.052162425
9/12/2017,28,17,sF5,A,c,f5,TotHg,ng/g,3.014829,2.2657715,2.846856576,2.810646732
9/12/2017,28,18,sF5,A,a,f5,TotHg,ng/g,4.662298,3.8747909,4.182522888,3.75080734
9/12/2017,28,18,sF5,A,b,f5,TotHg,ng/g,0.052248,0.0344644,0.054067467,0.050682498
9/12/2017,28,18,sF5,A,c,f5,TotHg,ng/g,3.926453,2.7528768,3.113823666,2.924893189
