site name,site code,state,system,subsite,latitude,longitude,individual ID,sample date,sample month,sample day,sample year,taxonomic group,Genus,species,common name,wet weight N,wet weight mean,wet weight st. dev,wet weight min,wet weight max,wet weight median,dry weight N,dry weight mean,dry weight st. dev.,dry weight min,dry weight max,dry weight median,length N,length mean,length st dev,length min,length max,length median,MeHg N,MeHg mean,MeHg st dev,MeHg min,MeHg max,MeHg median,THg sum N,THg sum mean,THg sum st dev,THg sum min,THg sum max,THg sum median,DMA N,DMA mean,DMA st dev,DMA min,DMA max,DMA median,,,N,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,N,mean,st dev,min,max,median,tidal cycle,dissolved MeHg (pM),dissolved THg (pM),DOC (ug/L),salinity,temp (deg C),conductivity (uS/cm),pH,DO %sat,DO (mg/L),TSS (mg/L),particulate MeHg (pmol/g),particulate THg (pmol/g),Cha (ug/L),Pha (ug/L),nitrate (ug/L),nitrite (ug/L as N),phosphate (ug/L as P),ammonia (ug/L as N)
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,,May,,2016,,,,mummichog,5,11.53066,2.5926201598,8.3853,15.2375,11.1686,5,2.68,0.5648273896,1.9201,3.2875,2.7195,5,90.8,7.4966659256,79,99,93,5,255.81059638,82.490755208,146.57757192,356.64391265,263.4866156,0,,,,,,5,272.262,57.510038428,211.67,344.07,244.55,LH,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,7.7082504576,,4.0752582508,11.341242664,7.7082504576,2,1672.9,,1645.2,1700.6,1672.9,2,7.65,,7.4,7.9,7.65,2,0.4573012469,,0.2477059477,0.6668965462,0.4573012469,High,0.173276124764146,11.7736467115464,4048.8064362,14.51,14.836666667,23998.333333,7.25,,7.3433333333,22.15,17.621899751,3157.0587906,5.9998387125,0.8732136191,1234.7398275,154.3572765,141.1504205,728.072872340425
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,,July,,2016,,,,grass shrimp,5,0.36676,0.025045818,0.3445,0.4028,0.3555,5,0.07274,0.0050441055,0.065,0.0777,0.0734,5,29.2,0.8366600265,28,30,29,5,253.79451926,50.671034513,213.43180578,338.1049565,245.26672251,5,377.32316424,75.285784443,321.82440186,496.5314075,333.36001164,0,,,,,,LH,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,23.645045821,7.3313388949,15.585718453,29.918358713,25.431060296,3,2209.3,200.79880478,2068.9,2439.3,2119.7,3,10.4,1.2124355653,9.1,11.5,10.6,3,1.0931973878,0.4038109759,0.6389422561,1.411443068,1.2292068392,Rise,0.560827299032703,12.1261506110413,4917.2843847,14.2,26.776666667,24316,7.2533333333,,3.5566666667,28.45,13.95056444,1934.7028454,3.6067367089,2.2573032911,682.128687,137.5620885,392.944263,483.769545454545
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,,July,,2016,,,,mummichog,5,9.81356,3.4916746617,5.2627,13.8176,10.9538,5,2.34408,0.8509508723,1.2731,3.46,2.3994,5,83.8,8.7005746937,72,95,82,5,410.1230988,86.20957876,276.26938562,491.70594089,410.54413157,0,,,,,,5,376.982,116.12195882,284.77,570.32,316.14,LH,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,23.645045821,7.3313388949,15.585718453,29.918358713,25.431060296,3,2209.3,200.79880478,2068.9,2439.3,2119.7,3,10.4,1.2124355653,9.1,11.5,10.6,3,1.0931973878,0.4038109759,0.6389422561,1.411443068,1.2292068392,Rise,0.560827299032703,12.1261506110413,4917.2843847,14.2,26.776666667,24316,7.2533333333,,3.5566666667,28.45,13.95056444,1934.7028454,3.6067367089,2.2573032911,682.128687,137.5620885,392.944263,483.769545454545
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,,July,,2016,,,,silverside,5,1.27362,0.213940896,1.0391,1.6126,1.2259,5,0.2835,0.0566303805,0.2325,0.3789,0.2627,5,59,3.3911649916,55,63,60,0,,,,,,0,,,,,,5,267.0371272,146.46960618,188.34771723,528.55309598,207.37264834,LH,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,23.645045821,7.3313388949,15.585718453,29.918358713,25.431060296,3,2209.3,200.79880478,2068.9,2439.3,2119.7,3,10.4,1.2124355653,9.1,11.5,10.6,3,1.0931973878,0.4038109759,0.6389422561,1.411443068,1.2292068392,Rise,0.560827299032703,12.1261506110413,4917.2843847,14.2,26.776666667,24316,7.2533333333,,3.5566666667,28.45,13.95056444,1934.7028454,3.6067367089,2.2573032911,682.128687,137.5620885,392.944263,483.769545454545
Marsh,M,ME,Penobscot River,,44.59109,-68.86432,,,July,,2016,,,,sand shrimp,5,0.78452,0.3372899005,0.3291,1.2445,0.742,5,0.15658,0.0762776638,0.0594,0.2616,0.1697,5,38.4,5.029910536,31,45,38,5,156.48773407,33.481545803,108.90208123,187.77806684,170.67514381,5,238.24584229,61.306357522,163.00077524,317.07453098,227.35244262,0,,,,,,M,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,20.435723301,7.8246348318,12.19,27.757169902,21.36,3,796.06666667,135.51628438,643.3,901.8,843.1,3,13.866666667,2.6764404222,10.9,16.1,14.6,3,2.6147359732,1.0195110851,1.4458545843,3.3203792943,3.077974041,HIgh,0.131148675843255,,,,,,,,,24.2,6.2793839724,479.11301124,3.2438393909,0.6443436685,38.409816,BDL,15.6383015,25.5182142857143
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,,July,,2016,,,,mummichog,5,2.43206,1.4298404799,0.3595,3.7684,2.7746,5,0.77592,0.2732260914,0.3756,1.0705,0.8519,5,60,2.1213203436,58,63,60,5,432.78799151,116.13934402,303.5914182,575.02289141,451.95179795,0,,,,,,5,439.362,199.77330695,270.4,774.17,391.9,O,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,35.434773561,4.8306225287,30.56,40.22,35.524320683,3,986.63333333,195.60450745,791.8,1183,985.1,3,18.3,4.4237992721,15.5,23.4,16,3,3.6218517813,0.2302659296,3.3998309383,3.8595604951,3.6061639105,Rise,0.235958215909907,8.45953437620064,4821.6015039,4.7033333333,26.706666667,8386.3333333,7.4233333333,,8.59,10.85,35.650700938,1535.9512188,4.1528432543,0.05,40.521123,0.007005,13.9070785,27.3831818181818
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,,July,,2016,,,,sand shrimp,5,0.3253,0.0828719796,0.2383,0.4595,0.3161,5,0.05114,0.0216645563,0.0331,0.0881,0.0476,5,29.2,4.9699094559,26,38,27,5,179.93046939,17.232145128,156.47270778,195.61664284,188.56268164,5,334.03939751,59.305652281,262.67391419,391.60863947,355.38743612,0,,,,,,O,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,35.434773561,4.8306225287,30.56,40.22,35.524320683,3,986.63333333,195.60450745,791.8,1183,985.1,3,18.3,4.4237992721,15.5,23.4,16,3,3.6218517813,0.2302659296,3.3998309383,3.8595604951,3.6061639105,Rise,0.235958215909907,8.45953437620064,4821.6015039,4.7033333333,26.706666667,8386.3333333,7.4233333333,,8.59,10.85,35.650700938,1535.9512188,4.1528432543,0.05,40.521123,0.007005,13.9070785,27.3831818181818
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,,May,,2016,,,,grass shrimp,5,0.50808,0.1491156665,0.3711,0.7165,0.4556,5,0.10638,0.0442303855,0.0673,0.1605,0.0793,5,31,2.4494897428,28,34,30,5,134.46286461,25.746636716,110.29282795,172.33979798,128.28824532,5,188.96086386,39.366831993,153.32186346,240.27118986,165.91157438,0,,,,,,RP,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,1.1320264086,,0.6722936178,1.5917591994,1.1320264086,2,99.5,,34.3,164.7,99.5,2,1.9,,1.3,2.5,1.9,2,1.4632497233,,0.9664597447,1.960039702,1.4632497233,High,0.156185837797783,6.03021354955879,2883.3816162,21.85,16.503333333,34746.333333,7.4766666667,,8.1866666667,42.45,6.5726198222,983.53905274,40.591773387,0.05,516.1823385,50.59011,99.2170405,335.739642857143
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,,May,,2016,,,,mummichog,5,9.81418,3.0024081413,6.8419,13.4857,8.9381,5,2.21812,0.6991860353,1.4842,2.9988,2.0448,5,84.4,6.8044103345,77,93,82,5,209.75495289,69.190372478,169.56278105,332.37912617,186.38252831,0,,,,,,5,241.698,57.142315931,190.61,321.47,221.9,RP,2016,May,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,1.1320264086,,0.6722936178,1.5917591994,1.1320264086,2,99.5,,34.3,164.7,99.5,2,1.9,,1.3,2.5,1.9,2,1.4632497233,,0.9664597447,1.960039702,1.4632497233,High,0.156185837797783,6.03021354955879,2883.3816162,21.85,16.503333333,34746.333333,7.4766666667,,8.1866666667,42.45,6.5726198222,983.53905274,40.591773387,0.05,516.1823385,50.59011,99.2170405,335.739642857143
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,,July,,2016,,,,mummichog,5,5.55956,0.8753180982,4.66,6.5604,5.5278,5,1.26482,0.2134121763,1.0412,1.5266,1.2995,5,74.8,2.7748873851,72,79,74,5,316.87879894,48.570164997,270.4430751,389.97438218,314.00110439,0,,,,,,5,249.444,42.171672127,196.74,312.91,248.42,RP,2016,July,0,,,,,,0,,,,,,0,,,,,,0,,,,,,3,1.9444401737,1.3003128675,1.0068217067,3.4288611741,1.3976376402,3,142.46666667,63.921931552,83.2,210.2,134,3,3.0333333333,1.9629909152,1.9,5.3,1.9,3,1.3541499638,0.5225974921,0.7513594826,1.6798529329,1.6312374758,Rise,1.17194458982095,8.36359419249303,3442.0816557,20.5,28.97,35426,7.73,,8.8833333333,65.25,34.389884646,2136.4334698,11.564887748,3.5328428602,161.10099,27.8441745,240.9822155,286.780454545455
