site name,site code,state,system,subsite,latitude,longitude,individual ID,sample_date,sample date,sample month,sample year,sample type,sample depth (cm),sediment MeHg (ng/g DW),mehg_units,sediment THg (ng/g DW),total_hg_units,%LOI,%MeHg,,,,notes,notes 2,notes 3,,,,,file name for data pull
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,,07/01/2016,,July,2016,grab,0-2,2.2,(ng/g DW),362.6,(ng/g DW),4.31,1,,,,,,,,,,,
Above,A,ME,Penobscot River,,44.76309,-68.80048,,05/01/2016,,May,2016,grab,0-2,0.03,(ng/g DW),2.7,(ng/g DW),1.7,1,,,,,,,,,,,
Above,A,ME,Penobscot River,,44.76309,-68.80048,,05/01/2016,,May,2016,grab,0-2,3.08,(ng/g DW),184.5,(ng/g DW),4.9,2,,,,,,,,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,05/01/2016,,May,2016,grab,0-2,39.56,(ng/g DW),8079.6,(ng/g DW),12.8,0,,,,,,,,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,05/01/2016,,May,2016,grab,0-2,16.64,(ng/g DW),3614.6,(ng/g DW),4.5,0,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,05/01/2016,,May,2016,grab,0-2,4.08,(ng/g DW),1645.2,(ng/g DW),7.4,0,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,05/01/2016,,May,2016,grab,0-2,11.34,(ng/g DW),1700.6,(ng/g DW),7.9,1,,,,,,,,,,,
Marsh,M,ME,Penobscot River,,44.59109,-68.86432,,05/01/2016,,May,2016,grab,0-2,,(ng/g DW),,(ng/g DW),,,,,,,,,,,,,
Marsh,M,ME,Penobscot River,,44.59109,-68.86432,,05/01/2016,,May,2016,grab,0-2,,(ng/g DW),,(ng/g DW),,,,,,,,,,,,,
Moose Point,MP,ME,Penobscot River,,44.43203,-68.94191,,05/01/2016,,May,2016,grab,0-2,0.01,(ng/g DW),10,(ng/g DW),4,0,,,,,,,,,,,
