site name,site code,state,system,subsite,latitude,longitude,individual ID,sample_date,sample date,sample month,sample year,sample type,sample depth (cm),sediment MeHg (ng/g DW),mehg_units,sediment THg (ng/g DW),total_hg_units,%LOI,%MeHg,,,,notes,notes 2,notes 3,,,,,file name for data pull
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,2.60141056696408,(ng/g DW),171.8731,(ng/g DW),10.5263157894737,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,2.40862237266159,(ng/g DW),171.5149,(ng/g DW),10.0763358778625,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.201046766017407,(ng/g DW),33.5884,(ng/g DW),1.77537637000777,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.109744916156446,(ng/g DW),10.2165,(ng/g DW),1.26622952958831,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.275535786341062,(ng/g DW),25.3136,(ng/g DW),2.47033344821279,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.199750986583169,(ng/g DW),26.9728,(ng/g DW),1.19825708061002,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.87100533101839,(ng/g DW),76.7294,(ng/g DW),3.71859296482409,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,1.15839328107608,(ng/g DW),38.5855,(ng/g DW),2.29681978798591,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.2025959,(ng/g DW),45.5302,(ng/g DW),1.94720154397574,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.2498871981335,(ng/g DW),26.4153,(ng/g DW),1.67785234899327,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,SB LOC,07/01/2015,,July,2015,grab,0-4,0.138574250110426,(ng/g DW),29.6633,(ng/g DW),1.71673819742486,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,0.605440563523478,(ng/g DW),,(ng/g DW),5.22151898734175,,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,0.919015991783259,(ng/g DW),38.3746,(ng/g DW),6.69611276174308,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,0.334583250344155,(ng/g DW),12.5529,(ng/g DW),3.50655949741311,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,0.995226695777728,(ng/g DW),26.1801,(ng/g DW),5.23560209424091,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,0.43104569385059,(ng/g DW),18.9227,(ng/g DW),3.61057382333975,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,0.49313112249661,(ng/g DW),14.7838,(ng/g DW),4.20551404819533,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,1.48816251397265,(ng/g DW),49.7414,(ng/g DW),15.0375939849624,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,1.50750435792518,(ng/g DW),40.0026,(ng/g DW),14.894118527387,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,SM HOC,09/01/2015,,September,2015,grab,0-4,2.17354103936811,(ng/g DW),47.5652,(ng/g DW),17.2903426332621,5,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.202392549332937,(ng/g DW),8.2382,(ng/g DW),2.37717908082407,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.06940647987482,(ng/g DW),9.376,(ng/g DW),2.99216377924628,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.337746839927376,(ng/g DW),6.5846,(ng/g DW),2.24129494179461,5,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.279331337867769,(ng/g DW),6.0861,(ng/g DW),2.35478806907376,5,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.834087224620912,(ng/g DW),14.2864,(ng/g DW),4.28851532101169,6,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.059250569843162,(ng/g DW),2.4419,(ng/g DW),1.11169211998174,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.376675662391192,(ng/g DW),12.8771,(ng/g DW),2.91734197730956,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.471674816043997,(ng/g DW),6.4137,(ng/g DW),2.35868793762777,7,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,SM LOC,09/01/2015,,September,2015,grab,0-4,0.264636463822037,(ng/g DW),23.1332,(ng/g DW),2.96302796302796,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,3.31091610293799,(ng/g DW),272.8474,(ng/g DW),9.04367770243321,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,2.36692037187851,(ng/g DW),170.1214,(ng/g DW),7.61763319189064,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,3.50178475868791,(ng/g DW),279.6697,(ng/g DW),10.5263157894737,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,3.96832358553397,(ng/g DW),302.4723,(ng/g DW),12,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,4.72109438493402,(ng/g DW),290.519,(ng/g DW),11.3325661680092,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,2.90560389198646,(ng/g DW),289.7542,(ng/g DW),11.8195956454121,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,3.1854852393835,(ng/g DW),273.498,(ng/g DW),11.472275334608,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,2.03406642115009,(ng/g DW),288.4961,(ng/g DW),11.6317817348745,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,WB HOC,07/01/2015,,July,2015,grab,0-4,2.91048258411024,(ng/g DW),233.5806,(ng/g DW),10.9589041095891,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.016377503327759,(ng/g DW),1.5654,(ng/g DW),0.534344583157012,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.013306613857357,(ng/g DW),1.799,(ng/g DW),0.480771844000526,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.047570626071259,(ng/g DW),15.9349,(ng/g DW),0.52666227781434,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.084871667040675,(ng/g DW),6.8677,(ng/g DW),0.711009712578741,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.404122263469158,(ng/g DW),23.6321,(ng/g DW),1.03950103950105,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,2.50240528127796,(ng/g DW),67.9183,(ng/g DW),3.69540873460245,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.072728843598112,(ng/g DW),15.2552,(ng/g DW),0.959445789780223,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.171321615434122,(ng/g DW),8.9198,(ng/g DW),0.813743218806477,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,WB LOC,07/01/2015,,July,2015,grab,0-4,0.142015851204804,(ng/g DW),8.7148,(ng/g DW),0.835654596100261,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,0-2,0.02146313,(ng/g DW),3.02,(ng/g DW),2.27,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,2-4,0.006117995,(ng/g DW),1.45,(ng/g DW),0.84,0,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,4-6,0.00320944,(ng/g DW),1.19,(ng/g DW),1.28,0,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,6-8,0.0060177,(ng/g DW),2.52,(ng/g DW),1.6,0,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,8-10,0.00441298,(ng/g DW),1.88,(ng/g DW),0.43,0,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,0-2,0.02427139,(ng/g DW),2.27,(ng/g DW),4.36,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,2-4,0.012135695,(ng/g DW),1.02,(ng/g DW),1.74,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,4-6,0.00300885,(ng/g DW),1.08,(ng/g DW),1.1,0,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,6-8,0.00060177,(ng/g DW),1.28,(ng/g DW),1.25,0,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,07/01/2013,,July,2013,core,8-10,0.00421239,(ng/g DW),1.39,(ng/g DW),0.85,0,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,0-2,0.03289676,(ng/g DW),0.98,(ng/g DW),0.99,3,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,2-4,0.01143363,(ng/g DW),0.89,(ng/g DW),0.79,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,4-6,0.0100295,(ng/g DW),1.03,(ng/g DW),0.74,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,6-8,0.0100295,(ng/g DW),0.86,(ng/g DW),0.79,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,8-10,0.00842478,(ng/g DW),1.01,(ng/g DW),1.06,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,0-2,0.01444248,(ng/g DW),0.58,(ng/g DW),0.75,2,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,2-4,0.00902655,(ng/g DW),0.96,(ng/g DW),0.92,1,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,4-6,0.01043068,(ng/g DW),0.65,(ng/g DW),0.97,2,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,6-8,0.01243658,(ng/g DW),0.79,(ng/g DW),1.06,2,,,,,,,,,,,OHH2013_SummTab-working
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,07/01/2013,,July,2013,core,8-10,0.00762242,(ng/g DW),0.64,(ng/g DW),0.58,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,0-2,0.46576998,(ng/g DW),53.03,(ng/g DW),11.86,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,2-4,0.27561066,(ng/g DW),49.32,(ng/g DW),11.61,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,4-6,0.2748083,(ng/g DW),42.96,(ng/g DW),10.33,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,6-8,0.02567552,(ng/g DW),52.26,(ng/g DW),14.67,0,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,8-10,0.01845428,(ng/g DW),58.35,(ng/g DW),13.41,0,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,0-2,0.38934519,(ng/g DW),36.78,(ng/g DW),12.61,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,2-4,0.22446021,(ng/g DW),53.11,(ng/g DW),12.74,0,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,4-6,0.048843665,(ng/g DW),56.79,(ng/g DW),13.71,0,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,6-8,0.23228322,(ng/g DW),53.78,(ng/g DW),10.94,0,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,07/01/2013,,July,2013,core,8-10,0.18614752,(ng/g DW),39.6,(ng/g DW),10.41,0,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,0-2,0.013539825,(ng/g DW),0.08,(ng/g DW),0.75,17,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,2-4,0.014743365,(ng/g DW),3.07,(ng/g DW),0.76,0,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,4-6,0.01825369,(ng/g DW),2.23,(ng/g DW),0.77,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,6-8,0.02146313,(ng/g DW),2.32,(ng/g DW),0.88,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,8-10,0.01223599,(ng/g DW),0.82,(ng/g DW),0.78,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,0-2,0.00501475,(ng/g DW),0.79,(ng/g DW),0.67,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,2-4,0.00842478,(ng/g DW),0.99,(ng/g DW),0.65,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,4-6,0.01143363,(ng/g DW),0.785,(ng/g DW),0.64,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,6-8,0.01143363,(ng/g DW),1.18,(ng/g DW),0.67,1,,,,,,,,,,,OHH2013_SummTab-working
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,07/01/2013,,July,2013,core,8-10,0.00982891,(ng/g DW),0.07,(ng/g DW),0.59,14,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,0-2,0.349728665,(ng/g DW),173.7,(ng/g DW),29.9,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,2-4,0.055864315,(ng/g DW),179,(ng/g DW),28.5,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,4-6,0.02627729,(ng/g DW),179.6,(ng/g DW),27.99,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,6-8,0.01083186,(ng/g DW),193.2,(ng/g DW),27.56,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,8-10,0.02507375,(ng/g DW),187,(ng/g DW),26.66,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,0-2,0.25515048,(ng/g DW),109.16,(ng/g DW),24.09,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,2-4,0.10250149,(ng/g DW),97.6,(ng/g DW),22.67,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,4-6,0.04332744,(ng/g DW),94.4,(ng/g DW),21.45,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,6-8,0.050648975,(ng/g DW),79.27,(ng/g DW),20.07,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,09/01/2013,,September,2013,core,8-10,0.04994691,(ng/g DW),63.87,(ng/g DW),19.81,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,0-2,0.85952815,(ng/g DW),99.36,(ng/g DW),11.95,1,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,2-4,0.13058409,(ng/g DW),104.66,(ng/g DW),11.67,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,4-6,0.118648985,(ng/g DW),107.88,(ng/g DW),11.31,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,6-8,0.0982891,(ng/g DW),115.47,(ng/g DW),11.09,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,8-10,0.07100886,(ng/g DW),120.96,(ng/g DW),11.68,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,0-2,0.64549862,(ng/g DW),102.31,(ng/g DW),11.1,1,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,2-4,0.118047215,(ng/g DW),104.54,(ng/g DW),8.88,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,4-6,0.08745724,(ng/g DW),136.11,(ng/g DW),10.08,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,6-8,0.04974632,(ng/g DW),142.26,(ng/g DW),9.71,0,,,,,,,,,,,OHH2013_SummTab-working
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,09/01/2013,,September,2013,core,8-10,0.02246608,(ng/g DW),180.63,(ng/g DW),12.77,0,,,,,,,,,,,OHH2013_SummTab-working
Northeast Creek,NEC-H,ME,Mt. Desert Island,HOC,44.4238,-68.32529,,09/01/2013,,September,2013,core,0-2,1.6128673751613,(ng/g DW),1,(ng/g DW),16.71,160,,,,,,,,,,,OHH2013_SummTab-working
Northeast Creek,NEC-H,ME,Mt. Desert Island,HOC,44.4238,-68.32529,,09/01/2013,,September,2013,core,2-4,0.285981051007769,(ng/g DW),65.3,(ng/g DW),13.27,0,,,,,,,,,,,OHH2013_SummTab-working
Northeast Creek,NEC-H,ME,Mt. Desert Island,HOC,44.4238,-68.32529,,09/01/2013,,September,2013,core,4-6,0.037109226016643,(ng/g DW),47.8,(ng/g DW),7.77,0,,,,,,,,,,,OHH2013_SummTab-working
Northeast Creek,NEC-H,ME,Mt. Desert Island,HOC,44.4238,-68.32529,,09/01/2013,,September,2013,core,6-8,0.021660294726001,(ng/g DW),34.4,(ng/g DW),7.2,0,,,,,,,,,,,OHH2013_SummTab-working
Northeast Creek,NEC-H,ME,Mt. Desert Island,HOC,44.4238,-68.32529,,09/01/2013,,September,2013,core,8-10,0.01628632895774,(ng/g DW),27.3,(ng/g DW),6.3,0,,,,,,,,,,,OHH2013_SummTab-working
Northeast Creek,NEC-H,ME,Mt. Desert Island,HOC,44.4238,-68.32529,,09/01/2013,,September,2013,core,0-2,2.6013105894468,(ng/g DW),84.15,(ng/g DW),21.9,3,,,,,,,,,,,OHH2013_SummTab-working
