site name,site code,state,system,subsite,latitude,longitude,individual ID,sample date,sample month,sample day,sample year,taxonomic group,Genus,species,common name,wet weight (g),dry weight (g),length (mm),width (mm),MeHg (ng/g DW),iHg (ng/g DW),THg sum species (ng/g DW),THg DMA (ng/g DW),tissue,n (if composite),notes,notes 2,notes 3,DORM % recovery,TORT2 % recovery,analysis duplicate RPD,,file name for data pull,,,MeHg DL,iHg DL
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,7389,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.232300000000002,0.050800000000002,30,,97.42,10.6,108.02,,,,,,,,,,,,,,,
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,7390,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.441499999999998,0.073699999999999,33,,32.94,23.07,56.01,,,,,,,,,,,,,,,
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,7391,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.404299999999999,0.069800000000001,33,,26.09,20.22,46.31,,,,,,,,,,,,,,,
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,7392,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.819800000000001,0.120200000000001,36,,98.71,16.34,115.05,,,,,,,,,,,,,,,
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,7393,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.487600000000001,0.082700000000003,33.5,,24.26,14.87,39.13,,,,,,,,,,,,,,,
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,7394,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.541600000000003,0.086000000000002,33,,5.91,20.49,26.4,,,,,,,,,,,,,,,
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,7395,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.398399999999999,0.068999999999999,31,,14.77,11.05,25.82,,,,,,,,,,,,,,,
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,7396,,July,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.451799999999999,0.078699999999998,32,,12.4,19.42,31.82,,,,,,,,,,,,,,,
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,7397,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.2331,0.040500000000002,28,,14.96,12.39,27.35,,,,,,,,,,,,,,,
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,7398,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.336099999999998,0.0703,31,,36.59,6.64,43.23,,,,,,,,,,,,,,,
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,7399,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.4298,0.073499999999999,32.5,,50.48,12.7,63.18,,,,,,,,,,,,,,,
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,7400,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.375900000000001,0.057199999999998,30,,113.6,9.16,122.76,,,,,,,,,,,,,,,
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,7401,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.305800000000001,0.0581,28,,17.25,6.99,24.25,,,,,,,,,,,,,,,
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,7402,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.7684,0.162500000000001,34,,135.14,21.62,156.76,,,,,,,,,,,,,,,
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,7403,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.720499999999998,0.162599999999998,34,,167.1,14,181.1,,,,,,,,,,,,,,,
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,7404,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.984400000000001,0.193300000000001,39,,61.98,15.02,77,,,,,,,,,,,,,,,
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,7405,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.307399999999998,0.0535,27,,181.25,29.82,211.08,,,,,,,,,,,,,,,
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,7406,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.219799999999999,0.043900000000001,26.5,,390.4,37.64,428.04,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7407,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.2729,0.0473,28,,33.32,7.64,40.96,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7408,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.3779,0.057100000000002,32,,44.03,10.79,54.82,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7409,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.332699999999999,0.063500000000001,30,,87.51,6.54,94.04,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7410,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.548199999999998,0.113599999999998,35,,76.48,11.12,87.6,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7411,,August,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.320399999999999,0.0642,29,,19.16,5.73,24.89,,,,,,,,,,,,,,,
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,7412,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.3079,0.056100000000001,32,,65.75,17.4,83.15,,,,,,,,,,,,,,,
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,7413,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.3321,0.059900000000003,36,,59.4,8.77,68.17,,,,,,,,,,,,,,,
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,7414,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.583400000000001,0.121500000000001,39,,42.15,13.49,55.64,,,,,,,,,,,,,,,
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,7415,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.330500000000001,0.065899999999999,32,,55.32,9.43,64.74,,,,,,,,,,,,,,,
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,7416,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.280900000000003,0.049400000000002,32.5,,42.19,7.75,49.94,,,,,,,,,,,,,,,
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,7417,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.388300000000001,0.071400000000001,33,,5.77,4.23,10,,,,,,,,,,,,,,,
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,7418,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.327100000000001,0.0671,32,,4.12,5.57,9.69,,,,,,,,,,,,,,,
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,7419,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.317399999999999,0.056099999999997,30,,4.18,5.56,9.74,,,,,,,,,,,,,,,
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,7420,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.346299999999999,0.055599999999998,31,,5.31,6.39,11.71,,,,,,,,,,,,,,,
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,7421,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.380500000000001,0.072700000000001,31.5,,4.08,4.48,8.56,,,,,,,,,,,,,,,
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,7422,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.3278,0.064499999999999,31,,13.81,20.28,34.1,,,,,,,,,,,,,,,
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,7423,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.3931,0.076500000000003,34.5,,21.22,6.01,27.22,,,,,,,,,,,,,,,
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,7424,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.4423,0.086099999999998,36,,16.51,10.09,26.61,,,,,,,,,,,,,,,
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,7425,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.3582,0.065300000000001,35,,33.12,15.22,48.34,,,,,,,,,,,,,,,
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,7426,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.2211,0.0366,30,,23.86,9.43,33.29,,,,,,,,,,,,,,,
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,7427,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.856999999999999,0.159600000000001,38,,24.92,3.22,28.15,,,,,,,,,,,,,,,
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,7428,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.816899999999997,0.146999999999998,38,,12.31,4.98,17.29,,,,,,,,,,,,,,,
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,7429,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.377600000000001,0.058700000000002,30,,2.86,3.01,5.86,,,,,,,,,,,,,,,
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,7430,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.312799999999999,0.0488,29.5,,7.47,5.83,13.3,,,,,,,,,,,,,,,
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,7431,,September,,2015,decapod,Palaemonetes,spp.,grass shrimp,0.3536,0.063600000000001,29.5,,10.5,3.6,14.1,,,,,,,,,,,,,,,
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,7432,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.308399999999999,0.052799999999998,33,,49.54,6.53,56.08,,,,,,,,,,,,,,,
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,7433,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.4222,0.073999999999998,36,,49.88,4.65,54.53,,,,,,,,,,,,,,,
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,7434,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.422999999999998,0.069700000000001,35.5,,56.44,5.8,62.25,,,,,,,,,,,,,,,
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,7435,,September,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.497,0.101600000000001,38,,54.9,3.07,57.97,,,,,,,,,,,,,,,
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,7436,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.252199999999998,0.039300000000001,29,,38.29,5.4,43.69,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7440,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.408399999999997,0.064499999999999,36,,19.08,4.06,23.14,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7441,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.340699999999998,0.061399999999999,31,,19.13,3.24,22.36,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7442,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.251900000000003,0.038400000000003,29,,17.92,4.78,22.7,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7443,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.387699999999999,0.0597,33,,24.59,5.02,29.61,,,,,,,,,,,,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,7444,,August,,2015,decapod,Crangon,septemspinosa,sand shrimp,0.200600000000001,0.028000000000002,26,,15.94,5.13,21.07,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5518,,September,,2013,,,,stickleback,0.5442,0.1508,46,,181.0,<MDL,186.062080301822,174,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5519,,September,,2013,,,,stickleback,0.149000000000001,0.033200000000001,28,,296.0,<MDL,309.661960113985,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5520,,September,,2013,,,,stickleback,0.261800000000001,0.072700000000001,35,,138.9,<MDL,142.537598140233,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5521,,September,,2013,,,,stickleback,0.313800000000001,0.081399999999999,36,,256.9,11.4,268.294234758133,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5522,,September,,2013,,,,stickleback,0.410699999999999,0.118399999999998,42,,196.5,11.7,208.165583815876,204,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5523,,September,,2013,,,,stickleback,0.349800000000002,0.109400000000001,40,,175.8,<MDL,180.254488389845,196,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5524,,September,,2013,,,,stickleback,0.211600000000001,0.043599999999998,34,,300.6,13.6,314.254032709665,219,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5525,,September,,2013,,,,stickleback,0.4819,0.129799999999999,43,,217.2,13.6,230.830657083672,184,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5526,,September,,2013,,,,stickleback,0.325699999999998,0.121199999999998,41,,168.1,<MDL,175.824200346536,250,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5527,,September,,2013,,,,stickleback,0.5276,0.148199999999999,44,,223.1,12.2,235.253386566082,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5528,,September,,2013,,,,stickleback,0.632300000000001,0.192599999999999,48,,133.6,13.1,146.729753559553,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5529,,September,,2013,teleost,Menidia,menidia,silverside,0.068999999999999,0.012799999999999,25,,213.0,<MDL,231.191761536328,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5530,,September,,2013,teleost,Menidia,menidia,silverside,0.0581,0.006599999999999,23,,141.1,<MDL,157.235207768394,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5531,,September,,2013,teleost,Menidia,menidia,silverside,0.175700000000003,0.030799999999999,34,,212.8,<MDL,220.609563178621,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5532,,September,,2013,teleost,Menidia,menidia,silverside,0.117700000000003,0.017400000000002,27,,178.8,<MDL,192.803493606004,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5533,,September,,2013,teleost,Menidia,menidia,silverside,0.0595,0.012699999999999,25,,223.1,<MDL,240.53085005766,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5534,,September,,2013,teleost,Menidia,menidia,silverside,0.0794,0.013400000000001,26,,222.7,<MDL,240.892020604172,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5535,,September,,2013,teleost,Menidia,menidia,silverside,0.056900000000002,0.0091,24,,172.6,<MDL,185.690770911079,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5536,,September,,2013,teleost,Menidia,menidia,silverside,0.062899999999999,0.0109,24,,200.0,<MDL,215.959336880628,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5537,,September,,2013,teleost,Menidia,menidia,silverside,0.078200000000003,0.011099999999999,26,,251.4,<MDL,269.324544073448,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5538,,September,,2013,teleost,Menidia,menidia,silverside,0.1312,0.0228,29,,174.1,<MDL,179.281238621725,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5539,,September,,2013,teleost,Menidia,menidia,silverside,0.076600000000003,0.010900000000003,25,,189.7,<MDL,203.123612489951,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5540,,September,,2013,teleost,Menidia,menidia,silverside,1.0142,0.1996,58,,119.0,<MDL,127.547864910584,110,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5541,,September,,2013,teleost,Menidia,menidia,silverside,0.752799999999997,0.155999999999999,54,,148.3,<MDL,150.565755822724,133,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5542,,September,,2013,teleost,Menidia,menidia,silverside,0.469799999999999,0.093500000000002,45,,119.1,<MDL,123.658058051575,128,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5543,,September,,2013,teleost,Menidia,menidia,silverside,1.0227,0.209900000000001,58,,121.9,<MDL,125.428922497143,126,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5544,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.642700000000001,0.134700000000002,38,,53.8,<MDL,55.421806305643,49,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5545,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.375499999999999,0.075699999999998,32,,47.6,<MDL,50.8569262495878,,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5546,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.613,0.1191,38,,41.9,<MDL,42.8080361157403,40,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5547,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.296999999999997,0.056699999999999,29,,44.7,<MDL,47.2982943904128,,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5548,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.5655,0.121600000000001,35,,57.3,<MDL,60.4669763855115,59,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5549,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.703800000000001,0.145499999999998,39,,23.1,<MDL,24.92296499589,22,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5550,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.4056,0.078600000000002,33,,24.3,<MDL,26.6195624409779,19,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5551,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.416,0.087800000000002,34,,36.4,<MDL,38.6324658162859,32,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5552,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.627099999999999,0.128299999999999,38,,26.4,<MDL,28.6086864330019,23,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5553,,September,,2013,teleost,Fundulus,sp.,banded killifish,0.437700000000003,0.088800000000003,33,,65.1,<MDL,67.3277969078061,,,,"probably banded, but could be juv. Heteroclitus",,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5554,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,1.5935,0.374400000000001,51,,51.7,<MDL,54.4572940788381,44,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5555,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,1.3395,0.327099999999998,49,,60.7,<MDL,63.0311261275897,66,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5556,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,0.8615,0.1876,43,,38.7,<MDL,40.5744966081259,35,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5557,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,1.2245,0.273099999999999,46,,81.5,<MDL,85.4510076970118,84,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5558,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,1.4684,0.3292,48,,36.9,<MDL,41.3007040150461,29,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5559,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,1.0396,0.229600000000001,44,,23.2,<MDL,24.6853661117973,23,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5560,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,1.2313,0.272599999999997,48,,44.6,<MDL,46.6452668455789,44,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5561,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,0.6829,0.143800000000002,39,,32.3,<MDL,34.7265830251669,30,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5562,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,0.746700000000001,0.146899999999999,39,,46.0,<MDL,49.8821474801801,43,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5563,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,1.5774,0.3612,48,,46.6,<MDL,49.7940840095551,45,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5564,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,2.4662,0.526800000000002,58,,86.1,<MDL,88.9657305429452,85,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5565,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,2.0442,0.485400000000002,54,,52.2,<MDL,54.409375370758,49,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5566,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,2.9825,0.677200000000003,61,,129.1,<MDL,132.520084660915,116,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5567,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,2.5832,0.5761,59,,166.1,<MDL,172.965997650732,128,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5568,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,2.8711,0.682299999999998,60,,56.0,<MDL,58.1633006115533,55,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5569,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,4.2298,0.996700000000001,68,,81.4,12.0,93.3926788850578,82,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5570,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,2.6241,0.608000000000001,56,,79.1,<MDL,83.1997487408918,81,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5571,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,2.2139,0.528499999999998,56,,34.9,<MDL,37.6704166224896,32,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5572,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,3.35,0.813700000000001,68,,123.3,<MDL,126.411504595152,111,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5573,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,4.4246,1.0012,69,,77.9,<MDL,83.0130260531258,62,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5574,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,4.7344,1.1324,72,,131.8,<MDL,135.949674317902,107,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5575,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,5.6805,1.4355,74,,88.9,<MDL,92.2382350138487,82,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5576,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,5.4158,1.3474,72,,51.3,<MDL,53.4473406972752,58,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5577,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,9.1212,2.1498,84,,93.8,<MDL,102.779432635918,155,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5578,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,5.1898,1.2692,73,,49.9,<MDL,53.7119605086558,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5579,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,6.0871,1.5059,73,,68.3,<MDL,74.1947614307114,,,,,,,,,,,,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,5580,,September,,2013,teleost,Fundulus,heteroclitus,mummichog,7.2514,1.7415,78,,31.1,<MDL,32.5465108831684,,,,,,,,,,,,,,,
