site name,site code,state,system,subsite,latitude,longitude,individual ID,sample date,sample month,sample day,sample year,taxonomic group,Genus,species,common name,wet weight (g),dry weight (g),length (mm),width (mm),MeHg (ng/g DW),iHg (ng/g DW),THg sum species (ng/g DW),THg DMA (ng/g DW),tissue,n (if composite),notes,notes 2,notes 3,DORM % recovery,TORT2 % recovery,analysis duplicate RPD,,file name for data pull,,,MeHg DL,iHg DL
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8326,19-May-16,May,19,2016,teleost,Fundulus,heteroclitus,mummichog,12.4482,2.9016,93,,190.39,,,194.50,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8327,18-May-16,May,18,2016,teleost,Menidia,menidia,silverside,6.8782,1.5277,100,,,,,381.26342780027,,,F,GRAVID WITH EGGS!,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8328,18-May-16,May,18,2016,teleost,Menidia,menidia,silverside,5.7461,1.3862,98,,,,,454.863364993216,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8329,18-May-16,May,18,2016,teleost,Menidia,menidia,silverside,4.4739,0.977799999999998,89,,,,,148.909886547812,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8330,18-May-16,May,18,2016,teleost,Menidia,menidia,silverside,5.3821,1.1565,95,,,,,154.566104078762,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8331,18-May-16,May,18,2016,teleost,Menidia,menidia,silverside,2.2095,0.4284,66,,,,,90.167724137931,,,,,,,,,,,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8332,20-May-16,May,20,2016,decapod,Palaemonetes,spp.,grass shrimp,0.687200000000001,0.133400000000002,35,,478,81,559,,,,,TL: egg to end of tail,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8333,20-May-16,May,20,2016,decapod,Palaemonetes,spp.,grass shrimp,0.578399999999999,0.125699999999998,33,,254,138,392,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8334,20-May-16,May,20,2016,decapod,Palaemonetes,spp.,grass shrimp,0.623999999999999,0.116,35,,333,94,427,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8335,20-May-16,May,20,2016,decapod,Palaemonetes,spp.,grass shrimp,0.690899999999999,0.164100000000001,29,,420,152,572,,,,,no tail; broken,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8336,20-May-16,May,20,2016,decapod,Palaemonetes,spp.,grass shrimp,0.317399999999999,0.053799999999999,28,,320,139,459,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8337,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.278500000000001,0.045200000000001,28,,349,166,515,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8338,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.380800000000001,0.0763,30,,197,220,417,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8339,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.3751,0.0732,29,,152,85,237,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8340,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.302600000000002,0.0519,30,,198,159,357,,,,,no antenna,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8341,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.567799999999998,0.1187,34,,308,112,420,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8342,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.735900000000001,0.1584,33,,150,72,221,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8343,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.537500000000001,0.119500000000002,30,,80,133,213,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8344,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.3569,0.068099999999998,28,,69,79,148,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8345,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.393799999999999,0.075599999999998,29,,41,71,112,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8346,17-May-16,May,17,2016,decapod,Palaemonetes,spp.,grass shrimp,0.373800000000003,0.0669,29,,300,111,411,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8347,19-May-16,May,19,2016,decapod,Palaemonetes,spp.,grass shrimp,0.7165,0.160499999999999,34,,128,38,166,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8348,19-May-16,May,19,2016,decapod,Palaemonetes,spp.,grass shrimp,0.4556,0.0766,30,,172,68,240,,,,,"vial broke; new vial: 20.1097, vial + dry wt: 20.1863",inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8349,19-May-16,May,19,2016,decapod,Palaemonetes,spp.,grass shrimp,0.371100000000002,0.0673,28,,148,75,222,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8350,19-May-16,May,19,2016,decapod,Palaemonetes,spp.,grass shrimp,0.607699999999998,0.148199999999999,33,,114,39,153,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8351,19-May-16,May,19,2016,decapod,Palaemonetes,spp.,grass shrimp,0.389499999999998,0.0793,30,,110,53,163,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
